eventId,userId,hintType,eventType,action,modalType,challengeId,exerciseId,exerciseIndex,attemptNumber,timestamp
m1XQVaCMy49OjBMOHKm3,U0sCNMUIIIY4gRfxGBcbvqks1sF3,kinesthetic,hint,kinesthetic_run,,challenge-03,challenge-03-kinesthetic-1,0.0,1.0,04:16:22
m56EYXMyImefZmHozPMV,tLNByH3CBLa71TY5MtHZbGlVfwt1,aural,hint,aural_used,,challenge-02,,,,13:46:06
m7thmI7jz2xTxQ05lwr5,NBscVTaKtSMIbdAPL53zrm5s9cq2,reading,ui,modal_open,read,challenge-01,,,,13:16:28
m84VwZ6o0ZUqI2f64xgG,IYWLW15WUHeFIvYrS0R1Gzrwn0U2,visual,ui,modal_open,visual,challenge-02,,,,18:53:50
m9uV3NwATzsBSHINDGXq,hcureFujVvNqrCC5vqTt2fl6Wgr1,visual,ui,modal_open,visual,challenge-02,,,,09:12:20
m9vAJaT7VUvan3DMYz4W,8zlCDryQysTeQlSfMaEPM63Ayui2,visual,ui,modal_open,visual,challenge-03,,,,10:18:05
mAYXbObpWCjWGSeOgbfw,yGDNy0QVtDgfnsAB0YHHXhZ3b0y2,visual,ui,modal_open,visual,challenge-02,,,,15:29:28
mAgDS1kSNeSxsi79C6s3,QpOcDvlrCcOemenAqpTlhgSLT013,kinesthetic,hint,kinesthetic_run,,challenge-04,challenge-04-kinesthetic-1,0.0,1.0,18:13:13
mDXOEhVooen6mBX2RYg6,suG5O6R21eMDKumAII2D3rom6TQ2,aural,hint,aural_used,,challenge-01,,,,08:34:18
mJdXGxUIaQCFl1W4NcKo,Qtkcm5n0AJVlwEIB4F3Svphn2ei2,kinesthetic,hint,kinesthetic_run,,challenge-01,challenge-01-kinesthetic-1,0.0,1.0,15:18:41
mK7w5zt2jbHO2yTEoys1,RmE3k1SaRmX2WGnZsGCrpmjgtoW2,visual,ui,modal_open,visual,challenge-01,,,,12:33:17
mSbfWuFv6XuoAANg0Uib,BIpLLcw6xbTXovdoOMhlvUaW4mN2,visual,ui,modal_open,visual,challenge-02,,,,16:39:57
mWAFzNGrTI4NHfP73yr4,t4QPb6DjzsPKwFBzE49FhVjrqVy1,aural,hint,aural_used,,challenge-02,,,,16:25:00
mZu0bFLqPthHWqqEPAQ2,RmE3k1SaRmX2WGnZsGCrpmjgtoW2,visual,ui,modal_open,visual,challenge-02,,,,12:24:14
mcZdZQUGL9uan7y4TYBz,vgWUYlVDhzSFdjFPa6SpfmAXXvF3,reading,ui,modal_open,read,challenge-01,,,,17:02:18
mdmM71Dnawet21MvMLTe,FoqmXfwfq1csYj8njGP8DWa2b543,kinesthetic,hint,kinesthetic_run,,challenge-04,challenge-04-kinesthetic-2,1.0,1.0,07:27:39
mf3FMbB7pvg6TvnlJ0Wq,gf9guM95zAPjbbs3GPG9JRSNE6r1,aural,hint,aural_used,,challenge-02,,,,17:29:28
mhqq8h0rUhvJzXcpFhf8,YHkpceIBY5WHjrDXZISqYsrehdZ2,reading,ui,modal_open,read,challenge-03,,,,16:32:35
miRh40PE3zc3lQYEoXql,gf9guM95zAPjbbs3GPG9JRSNE6r1,kinesthetic,hint,kinesthetic_run,,challenge-04,challenge-04-kinesthetic-1,0.0,1.0,17:34:55
micwH48IPcZGfOnOvPrZ,6I8nAon3XrgGTNk8nMIEBhxzs8l1,visual,ui,modal_open,visual,challenge-03,,,,06:13:46
miu8t6Ry2CPTswYoqQ0f,C8UzSmKS5sYA3EubD2gGVTuXiQz2,visual,ui,modal_open,visual,challenge-03,,,,14:01:22
mjAXAo6GGOKITaQdksRv,GXy533qOsQSoWSylQEvuEX3aYMV2,reading,ui,modal_open,read,challenge-04,,,,14:12:30
mjDY3Ng8h5hgOHJlYknP,S97PkOSSGSadfL4P6JxfTxhJXK32,reading,ui,modal_open,read,challenge-04,,,,19:16:17
mlFum7sW19D8FZKlAbrk,kplGnHIYohYz6sP4w81CeYX9IPW2,aural,hint,aural_used,,challenge-01,,,,07:52:22
mlTlrjA6H1lurlI8twZd,W9YuHxTwyMcmDnEdncvX5NIbVhk2,kinesthetic,hint,kinesthetic_run,,challenge-01,challenge-01-kinesthetic-3,2.0,1.0,07:57:45
